00-Jan-01 Sensor de partículas                costo:aparato:componente:sensor                         $-15.00               $-15.00
00-Jan-01 gps                                 costo:aparato:componente:gps                            $-12.00               $-27.00
00-Jan-01 ESP8266                             costo:aparato:componente:esp                            $-10.00               $-37.00
00-Jan-01 DHT (sensor de humedad y temperat.. costo:aparato:componente:sensor:dht                      $-0.65               $-37.65
00-Jan-01 Leds                                costo:aparato:componente:feedback:led                    $-0.16               $-37.81
00-Jan-01 bateria                             costo:aparato:componente:energia:bateria                 $-6.00               $-43.81
00-Jan-01 ensamblaje                          costo:aparato:manoDeObra:ensamblaje                     $-17.00               $-60.81
00-Jan-01 diseño electrónico                  costo:aparato:manoDeObra:diseno                         $-17.00               $-77.81
00-Jan-01 cableado                            costo:aparato:manoDeObra:cableado                        $-1.00               $-78.81
00-Jan-01 carcasa                             costo:aparato:manoDeObra:diseno:carcasa                 $-20.00               $-98.81
00-Jan-01 codigo                              costo:aparato:manoDeObra:codigo                         $-10.00              $-108.81
00-Jan-01 infraestructura                     costo:aparato:infraestructura                           $-12.00              $-120.81
00-Jan-01 comunicaciones y documenta          costo:taller:comunicacion                               $-30.00              $-150.81
00-Jan-01 impuestos IVA 19%                   costo:aparato:impuestos                                 $-28.50              $-179.31
00-Jan-01 utilidad                            costo:aparato:utilidad                                  $-30.00              $-209.31
